year,city,country,avg_temp
1983,Tashkent,Uzbekistan,11.57
1984,Tashkent,Uzbekistan,9.79
1985,Tashkent,Uzbekistan,10.96
1986,Tashkent,Uzbekistan,11.10
1987,Tashkent,Uzbekistan,10.97
1988,Tashkent,Uzbekistan,11.76
1989,Tashkent,Uzbekistan,10.41
1990,Tashkent,Uzbekistan,11.38
1991,Tashkent,Uzbekistan,10.95
1992,Tashkent,Uzbekistan,10.97
1993,Tashkent,Uzbekistan,10.11
1994,Tashkent,Uzbekistan,10.95
1995,Tashkent,Uzbekistan,11.54
1996,Tashkent,Uzbekistan,10.45
1997,Tashkent,Uzbekistan,11.77
1998,Tashkent,Uzbekistan,11.32
1999,Tashkent,Uzbekistan,11.65
2000,Tashkent,Uzbekistan,11.85
2001,Tashkent,Uzbekistan,11.99
2002,Tashkent,Uzbekistan,11.65
2003,Tashkent,Uzbekistan,11.25
2004,Tashkent,Uzbekistan,12.24
2005,Tashkent,Uzbekistan,11.75
2006,Tashkent,Uzbekistan,11.86
2007,Tashkent,Uzbekistan,11.79
2008,Tashkent,Uzbekistan,11.43
2009,Tashkent,Uzbekistan,11.49
2010,Tashkent,Uzbekistan,11.94
2011,Tashkent,Uzbekistan,11.35
2012,Tashkent,Uzbekistan,10.87
2013,Tashkent,Uzbekistan,13.66
